"VideoAnalysis: Time (s)","VideoAnalysis: X Wrist (m)","VideoAnalysis: Y Wrist (m)","VideoAnalysis: X Elbow (m)","VideoAnalysis: Y Elbow (m)","VideoAnalysis: X Shoulder (m)","VideoAnalysis: Y Shoulder (m)","VideoAnalysis: X Ear (m)","VideoAnalysis: Y Ear (m)","VideoAnalysis: X Hip (m)","VideoAnalysis: Y Hip (m)","VideoAnalysis: X Knee (m)","VideoAnalysis: Y Knee (m)","VideoAnalysis: X Ankle (m)","VideoAnalysis: Y Ankle (m)","VideoAnalysis: X Toe (m)","VideoAnalysis: Y Toe (m)"
2.3,-1.15714965057,-0.314736827677,-1.2239494367,-0.10892082083,-0.971309094179,0.0937762566092,-0.828823047746,0.244562309987,-0.956245317584,-0.503510183488,-0.62179144575,-0.771602291476,-0.953496292241,-1.05906299044,-0.85532443207,-1.25336104231
2.33333333333,-1.15714965057,-0.307921218799,-1.23246895154,-0.0680026330437,-0.991841948659,0.0974378717422,-0.828823047746,0.248483362708,-0.956245317584,-0.491277363461,-0.620954142868,-0.770751698072,-0.90352392976,-1.07503819781,-0.80455336628,-1.25336104231
2.36666666667,-1.15537219861,-0.304439864624,-1.23246895154,-0.0522752409137,-0.991841948659,0.113034498226,-0.828823047746,0.254620158239,-0.943235626523,-0.464550680845,-0.619279537104,-0.749167890447,-0.860156956681,-1.09478791341,-0.706469281073,-1.26971080132
2.4,-1.15299409048,-0.289975083192,-1.2302379419,-0.038349818108,-0.991841948659,0.112304492678,-0.828823047746,0.260084110403,-0.940278878555,-0.448723382896,-0.619279537104,-0.749167890447,-0.810503566726,-1.13194821274,-0.639825927117,-1.28063475534
2.43333333333,-1.15299409048,-0.289239585831,-1.23097343958,-0.0269373457206,-0.991841948659,0.112304492678,-0.828823047746,0.262276651718,-0.941009369229,-0.43813706566,-0.619279537104,-0.749167890447,-0.764358874563,-1.16489541662,-0.602959390886,-1.28063475534
2.46666666667,-1.14958628604,-0.279714895007,-1.23251798471,-0.0608192723359,-0.991841948659,0.112304492678,-0.828823047746,0.263668741441,-0.941009369229,-0.43813706566,-0.619279537104,-0.749167890447,-0.719636268247,-1.16663647499,-0.531888580068,-1.28063475534
2.5,-1.14588428265,-0.269515998269,-1.23251798471,-0.0555114307207,-0.991841948659,0.112304492678,-0.828823047746,0.26734617846,-0.941009369229,-0.434183139945,-0.62810444367,-0.751746251703,-0.675086438715,-1.18726336504,-0.480842606825,-1.27975215773
2.53333333333,-1.13486408053,-0.263681052539,-1.22908566219,-0.0333606921556,-0.990370350172,0.115525787004,-0.828823047746,0.272763727634,-0.941009369229,-0.434183139945,-0.634244664805,-0.759547788079,-0.631161263715,-1.1915429131,-0.441357215391,-1.2543304528
2.56666666667,-1.12069349804,-0.247892375857,-1.22982115988,-0.0333606921556,-0.990370350172,0.12969716456,-0.828823047746,0.282833176633,-0.945009675304,-0.43346424436,-0.636783154494,-0.765462070341,-0.588246168382,-1.19668634509,-0.418279458214,-1.2543304528
2.6,-1.11375530627,-0.246384606267,-1.21894805246,-0.0364497824259,-0.990370350172,0.12969716456,-0.828823047746,0.282833176633,-0.945114031115,-0.448711787806,-0.636783154494,-0.766272792179,-0.55686724609,-1.19668634509,-0.418279458214,-1.23395836371
2.63333333333,-1.10898683171,-0.247095587049,-1.22045582271,-0.0406176026319,-0.990370350172,0.12969716456,-0.828823047746,0.283529221495,-0.945809736519,-0.448711787806,-0.671325221007,-0.780453779085,-0.598812133322,-1.20517898861,-0.418279458214,-1.23395836371
2.66666666667,-1.12681038443,-0.273696074937,-1.22045582271,-0.0422969890089,-0.990370350172,0.12386870756,-0.828823047746,0.283529221495,-0.951572496285,-0.448711787806,-0.691101517649,-0.801107250175,-0.5941338696,-1.21545256207,-0.418279458214,-1.23395836371
2.7,-1.10966103763,-0.280364584343,-1.22045582271,-0.0422969890089,-0.990370350172,0.113776091165,-0.828823047746,0.283529221495,-0.951572496285,-0.448711787806,-0.691898948965,-0.800256656771,-0.605337779593,-1.22652356684,-0.418279458214,-1.23666403179
